case_id,customer_text,YOUR_intent,YOUR_auto_handle,YOUR_notes
2010157,Ummm @AppleSupport any reason speaker phone doesn’t work after the last update? I know quite a few having problems.,software_bug_after_update,True,The customer asks why speakerphone stopped working after the last update and notes others have the same problem; the update is the explicit trigger for the feature failure.
2077660,@AppleSupport not happy with battery life since the software upgrade. Down to 12% after 2 hours and I’ve not used the phone in this time,software_bug_after_update,True,The customer reports battery life falling to 12% after two hours despite not using the phone and ties it to a software upgrade; this is a specific post-update software symptom.
2593038,@Applesupport is APFS supported on the Fusion Drive in the iMac yet?  I want to upgrade to High Sierra but don’t want any problems!!,update_install_issue,True,The customer asks whether APFS is supported on an iMac Fusion Drive before upgrading to High Sierra; the question is specifically about whether the upgrade can safely be installed.
897701,Who is hacking in to my camera when I’m FaceTiming my brother? It was only app open. Our convos aren’t that serious... @115858 @AppleSupport https://t.co/CDvyF2UuaE,account_access,False,The customer asks who is hacking their camera during FaceTime and suspects unauthorized access; this is a security/account-access concern requiring human investigation.
2729020,"@AppleSupport Good morning, I bought and MacBook Pro 2017, can I buy an Apple Care +? I’m in Spain and here is not available, it’s possible do it somehow?",billing_purchase,False,The customer asks whether AppleCare+ can be purchased for a 2017 MacBook Pro in Spain where they say it is unavailable; this is a purchase/eligibility decision rather than a routine how-to.
1400546,@AppleSupport I have a second MBP that is failing when doing the HighSierra upgrade. Really? We’re doing this again?,update_install_issue,True,"The customer says a second MacBook Pro is failing during the High Sierra upgrade; the problem is with the upgrade process itself, with no safety or warranty decision stated."
806386,@AppleSupport My phone has just decided that is should be I.S and I.S autocorrecting every I.S to I.S. SEND HELP! PLEASE! How do I fix?,software_bug_after_update,True,The customer says the phone changes 'I' to 'I.S' through autocorrect and explicitly asks how to fix it; this is a concrete keyboard software bug suitable for routine handling.
2703179,@AppleSupport App Store doesn’t work since iOS 11 update. Can’t download app unless I have WiFi. Argh. #Frustrated,software_bug_after_update,True,The customer says the App Store has not worked since the iOS 11 update and apps cannot be downloaded unless on Wi-Fi; the update is the stated trigger for the software problem.
2561823,@AppleSupport this is getting pathetic yet again despite updating it to the new version it is still freezing constantly do you genuinely do this so we buy the newer phones it’s a joke they never work the same after an update 😡😡😡 getting very cross now!!!,software_bug_after_update,True,The customer says the phone still freezes constantly despite updating to the new version and says phones never work the same after an update; this is explicit post-update software misbehavior.
1232314,@AppleSupport I accidentally just bought a YEAR subscription for an app instead of a month! Any way to reverse? Thanks!,billing_purchase,False,"The customer accidentally bought a year's subscription instead of a month and asks to reverse it; this is a purchase/refund request involving money, so it cannot be auto-handled."
1004457,"where my time? #apple @115858
bug lockscreen.. https://t.co/gjdt5VNjKb",complaint_feedback,False,"The visible text only says 'where my time?' and 'bug lockscreen' with a link, without enough detail to identify or act on the problem; it is too vague/cryptic for safe auto-handling."
31860,@AppleSupport hey this is the 2nd time I've seen a random $15 charge to my account from itunes on my card and I haven't gotten anything,billing_purchase,False,The customer reports a second random $15 iTunes charge to their card without receiving anything; this is an unauthorized/repeated charge and must not be auto-handled.
1892659,"@AppleSupport iOS 11.0.3 has caused keyboard malfunctions, battery drain, and made it seem like I️ used 6GB of data in 3 days.",software_bug_after_update,True,"The customer says iOS 11.0.3 caused keyboard malfunctions, battery drain, and an apparent 6GB data-use issue; the update is the stated cause and the symptoms are routine software troubleshooting."
1061453,"@AppleSupport I’ve iPhone 7 Plus and after updating the latest iOS, voice is not hearable on very first attempt and need to make call again",software_bug_after_update,True,The customer says that after the latest iOS update the first call has no audible voice and a second call is needed; the update is the stated trigger for the call-audio failure.
2117196,WHAT THE FUCK @115858!!!!!! FIX THIS KEYBOARD SHIT RIGHT NOW 🤬🤬🤬🤬🤬 I️ I️ I️ I️ I️ I️,software_bug_after_update,True,The customer angrily demands a fix for the keyboard and repeatedly shows the 'I' glitch; profanity does not change the underlying post-update software-bug classification.
1049415,"@AppleSupport this new iPod software update is pretty bad. For music, make the buttons bigger, bring back recently played and full art.",complaint_feedback,True,"The customer criticizes the new iPod software update and requests larger music buttons, the return of recently played, and full artwork; this is feature feedback rather than a specific broken feature."
940443,"Since the upgrade to High Sierra &amp; Keynote 7.3, Keynote keeps crashing as hell as soon as I start playing the slideshow.
@AppleSupport",software_bug_after_update,True,"The customer says that after upgrading to High Sierra and Keynote 7.3, Keynote crashes when starting a slideshow; the upgrade is the stated trigger for the software malfunction."
63207,@AppleSupport @115948 I have iCloud library on but can download music to play offline. Help pls,software_bug_after_update,True,The customer says iCloud Library is enabled but downloaded music cannot be played offline and asks for help; this is a concrete software/playback problem with a routine troubleshooting path.
